Node,Airport Name,Lon,Lat
ALB, Albany International,-73.80169678,42.74829865
BED, Laurence G Hanscom Field,-71.28900146,42.47000122
BLM, Monmouth Executive,-74.1222892,
EWB, New Bedford Regional,-70.95690155,41.67610168
HPN, Westchester County,-73.70760345,41.06700134
IAD, Washington Dulles International,-77.45580292,38.94449997
JFK, John F. Kennedy International,-73.77890015,40.63980103
MHT, Manchester-Boston Regional,-71.435699,42.932598
MVY, Martha's Vineyard Airport,-70.61430359,41.39310074
NAD, Harriman-and-West,-74.14458990000001,
SIG, Isla Grande,-66.09809875,18.45680046
SJU, Luis Munoz Marin International,-66.00180054,18.43939972
STX, Henry E. Rohlsen,-64.79859924,17.70190048
YYZ, Lester B. Pearson International,-79.63059998,43.67720032
LAX, Los Angeles International,-118.40799709999999,33.94250107
SAN, San Diego International,-117.1900024,32.73360062
TEB, Teterboro Airport,-74.06079865,40.85010147
TRM, Jacqueline Cochran Regional,-116.1600037,33.62670135
AUS, Austin - Bergstrom International,-97.66989899,30.19449997
HOU, William P Hobby,-95.27890015,29.64539909
SJC, Norman Y. Mineta San Jose International,-121.929001,37.362598
LIM, Jorge Chavez International,-77.114305,-12.0219
ROP, Benjamin Taisacan Manglona International,145.2429962,14.17430019
GHC, Great Harbour Cay Airport,-77.840103,25.7383
MPB, Watson Island International,-80.1703,25.7783
SAQ, San Andros Airport,-78.04900359999999,25.05380058
GAL, Edward G. Pitka Sr.,-156.93699650000002,64.73619843
GKN, Gulkana Airport,-145.4570007,62.15489960000001
MTX, Metro Field,-147.75512609999998,
ACK, Nantucket Memorial,-70.06020355,41.25310135
LGA, LaGuardia,-73.87259674,40.77719879
ANI, Aniak Airport,-159.5429993,61.58160019
ANV, Anvik Airport,-160.190994,62.646702000000005
KLG, Kalskag Airport,-160.3410034,61.53630066
RSH, Russian Mission Airport,-161.319458,61.77888489
ABL, Ambler River,-157.856989,67.1063
AUK, Alakanuk Airport,-164.6599274,62.68004227
DRG, Deering Airport,-162.7660065,66.06960297
ELI, Elim Airport,-162.2720032,64.61470032
IAN, Bob Baker Memorial,-160.43699650000002,66.97599792
KOT, Kotlik Airport,-163.53300480000001,63.0306015
KSM, St. Mary's Airport,-163.30200200000002,62.0605011
ORV, Robert/Bob/Curtis Memorial,-161.01899719999997,66.81790161
OTZ, Ralph Wien Memorial,-162.598999,66.88469696
RDB, Red Dog Airport,-162.8990021,68.03209686
SHG, Shungnak Airport,-157.1620026,66.88809967
SHH, Shishmaref Airport,-166.089112,66.249604
SHX, Shageluk Airport,-159.56900019999998,62.69229889
SKK, Shaktoolik Airport,-161.223999,64.37110138
SVA, Savoonga Airport,-170.4929962,63.68640137
UNK, Unalakleet Airport,-160.798996,63.88840103
WAA, Wales Airport,-168.095,65.62259300000001
WBB, Stebbins Airport,-162.278056,63.51583299999999
WLK, Selawik Airport,-159.98599240000001,66.60009766
WMO, White Mountain Airport,-163.4129944,64.68920136
HYA, Barnstable Municipal-Boardman/Polando Field,-70.28040314,41.66930008
TPA, Tampa International,-82.53320313,27.97550011
SIT, Sitka Rocky Gutierrez,-135.36199950000002,57.04710007
EDA, Edna Bay Airport,-133.6632433,
KPB, Point Baker Airport,-133.6225,56.351943999999996
KTB, Thorne Bay Seaplane Base,-132.536667,55.688056
WFB, Ketchikan Waterfront Seaplane Base,-131.663333,55.344443999999996
WWP, Whale Pass Airport,-133.121667,56.116389
YQQ, Comox Airport,-124.887001,49.71080017
HNL, Daniel K Inouye International,-157.924228,21.32062
MTH, The Florida Keys Marathon International,-81.051399,24.726101
OPF, Miami Opa Locka Executive,-80.278397,25.906999999999996
TN8, John C Tune,-86.88638784,
BDL, Bradley International,-72.68319702,41.93889999
RSW, Southwest Florida International,-81.75520325,26.53619957
PHL, Philadelphia International,-75.2410965,39.87189865
BHM, Birmingham-Shuttlesworth International,-86.75350189,33.56290054
BOS, Logan International,-71.00520325,42.36429977
PHX, Phoenix Sky Harbor International,-112.012001,33.43429947
ACT, Waco Regional,-97.23049927,31.61129951
EMK, Emmonak Airport,-164.49099730000003,62.78609848
FAI, Fairbanks International,-147.85600280000003,64.81510162
FYU, Fort Yukon Airport,-145.25,66.57150269
KAL, Kaltag Airport,-158.74099730000003,64.31909943
KYU, Koyukuk Airport,-157.727005,64.87609863
NUL, Nulato Airport,-158.074005,64.729301
KTN, Ketchikan International,-131.7140045,55.35559845
PSG, Petersburg James A Johnson,-132.9450073,56.80170059
AGN, Angoon Seaplane Base,-134.58500700000002,57.503601
BET, Bethel Airport,-161.8379974,60.77980042
CHU, Chuathbaluk Airport,-159.216003,61.579102
KKI, Akiachak Airport,-161.426944,60.906110999999996
KUK, Kasigluk Airport,-162.5240021,60.87440109
KWT, Kwethluk Airport,-161.44400019999998,60.79029846
OOK, Toksook Bay,-165.0870056,60.54140091
PKA, Napaskiak Airport,-161.7779999,60.70289993
PTU, Platinum Airport,-161.82000730000001,59.01139832
ENA, Kenai Municipal,-151.24499509999998,60.57310104
HOM, Homer Airport,-151.477005,59.64559937
PGM, Port Graham Airport,-151.8286652,
SOV, Seldovia Airport,-151.7039948,59.44240189
A43, Trident Basin Seaplane Base,-152.3910065,
KLN, Larsen Bay Airport,-153.9779968,57.53509903
KZB, Zachar Bay Airport,-153.75,57.55
OLH, Old Harbor Airport,-153.269722,57.218056000000004
KXA, Kasaan Seaplane Base,-132.3975,
CEM, Central Airport,-144.78300480000001,65.57379913
IRC, Circle City,-144.076008,65.83049799999999
VEE, Venetie Airport,-146.36599730000003,67.00869751
AKN, King Salmon Airport,-156.6490021,58.67679977
IGG, Igiugig Airport,-155.90199280000002,59.32400131
KCG, Chignik Bay Airport,-158.590833,56.317778000000004
KCL, Chignik Lagoon Airport,-158.534167,56.311111
KCQ, Chignik Lake,-158.77527800000001,56.255
KKH, Kongiganak Airport,-162.8809967,59.96080017
KNW, New Stuyahok Airport,-157.3280029,59.44990158
KWK, Kwigillingok Airport,-163.169005,59.876499
NME, Nightmute Airport,-164.701004,60.47100067
NUP, Nunapitchuk Airport,-162.439167,60.905832999999994
PIP, Pilot Point Airport,-157.5720062,57.58039856
PTH, Port Heiden Airport,-158.6329956,56.95909882
TNK, Tununak Airport,-165.27166699999998,60.575556000000006
UGS, Ugashik Airport,-157.4009501,
TKJ, Tok Junction,-142.9539948,63.32949829
SKW, Skwentna Airport,-151.1879783,
LAS, McCarran International,-115.15200039999999,36.08010101
CKD, Crooked Creek Airport,-158.135,61.867778
GNU, Goodnews,-161.5775,59.1175
HCR, Holy Cross Airport,-159.7749939,62.18830109
HPB, Hooper Bay Airport,-166.1470032,61.52389908
HSL, Huslia Airport,-156.3509979,65.69789886
KGX, Grayling Airport,-160.065,62.89444399999999
KPN, Kipnuk Airport,-164.03100590000003,59.93299866
MLL, Marshall Don Hunter Sr.,-162.026001,61.86429977
MOU, Mountain Village Airport,-163.6820068,62.09540176
NUI, Nuiqsut Airport,-151.0059967,70.20999908
PIZ, Point Lay LRRS,-163.00500490000002,69.73290253
PQS, Pilot Station Airport,-162.899444,61.93444399999999
SMK, St. Michael Airport,-162.1100006,63.49010086
TLT, Tuluksak Airport,-160.96944399999998,61.09694399999999
WTL, Tuntutuliak Airport,-162.666944,60.335278
RSN, Ruston Regional,-92.58902109999998,
YIP, Willow Run,-83.53040314,42.23789978
APA, Centennial,-104.84899899999999,39.57009888
BUR, Bob Hope,-118.35900120000001,34.20069885
HHR, Jack Northrop Field/Hawthorne Municipal,-118.334999,33.922798
LGB, Long Beach Airport,-118.15200039999999,33.81769943
ONT, Ontario International,-117.60099790000001,34.05599976
TKF, Truckee Tahoe,-120.1399994,39.31999969
VNY, Van Nuys Airport,-118.4899979,34.20980072
YAK, Yakutat Airport,-139.66000369999998,59.50329971
ELM, Elmira/Corning Regional,-76.89160156,42.15990067
JAX, Jacksonville International,-81.68789673,30.49410057
RIC, Richmond International,-77.31970215,37.50519943
SCE, University Park,-77.84870148,40.84930038
PBI, Palm Beach International,-80.09559631,26.68320084
MYK, May Creek Airport,-142.6875629,
BGR, Bangor International,-68.82810211,44.80739975
BNA, Nashville International,-86.67819977,36.12450027
CAK, Akron-Canton Regional,-81.44219971,40.91609955
CVG, Cincinnati/Northern Kentucky International,-84.6678009,39.04880142
EWR, Newark Liberty International,-74.16870117,40.69250107
GRR, Gerald R. Ford International,-85.52279663,42.88079834
LEX, Blue Grass,-84.60590363,38.03649902
LIT, Bill and Hillary Clinton Nat Adams Field,-92.22429657,34.72940063
MEM, Memphis International,-89.97669983,35.04240036
PVD, Theodore Francis Green State,-71.42040300000001,41.732601
SAV, Savannah/Hilton Head International,-81.20210266,32.12760162
SDF, Louisville Muhammad Ali International,-85.736,38.1744
TUL, Tulsa International,-95.88809967,36.19839859
DFW, Dallas/Fort Worth International,-97.038002,32.896801
MSN, Dane County Regional-Truax Field,-89.33750153,43.13990021
PDX, Portland International,-122.59799960000001,45.58869934
PSC, Tri Cities,-119.1190033,46.26470184
SAT, San Antonio International,-98.46980286,29.53370094
SBA, Santa Barbara Municipal,-119.8399963,34.42620087
ILI, Iliamna Airport,-154.9109955,59.75439835
