Source,Target,Weight
ALB,MVY,1
BED,BLM,1
BED,NAD,1
BED,SYR,1
BLM,BED,1
BLM,IAD,1
EWB,PSF,1
HPN,PWM,1
IAD,TEB,1
JFK,MEM,1
MHT,TEB,1
MVY,BAF,1
NAD,MVL,1
SIG,VQS,1
SJU,SKB,1
SJU,STX,1
STX,STT,1
YYZ,HPN,1
LAX,TRM,1
SAN,TEB,1
TEB,CLD,1
TRM,LAX,1
AUS,HOU,1
AUS,SFB,1
HOU,AUS,1
SJC,PHX,1
LIM,MIA,1
ROP,SPN,1
GHC,APF,1
MPB,BIM,1
SAQ,FLL,1
GAL,GAL,1
GAL,MTX,1
GKN,MTX,1
MTX,GAL,1
MTX,GKN,1
ACK,LGA,1
LGA,ACK,1
ANI,KGX,1
ANV,ANI,1
KLG,RSH,1
RSH,KLG,1
ABL,ORV,1
ABL,RDB,1
AUK,KSM,1
AUK,UNK,1
DRG,RDB,1
ELI,WMO,1
IAN,SHG,1
KOT,OME,1
KSM,AUK,1
KSM,UNK,1
ORV,WLK,1
OTZ,SKK,1
RDB,ABL,1
RDB,DRG,1
SHG,ORV,1
SHG,WLK,1
SHH,ANC,1
SHX,UNK,1
SKK,GLV,1
SKK,GLV,1
SKK,KTS,1
SKK,WAA,1
SKK,WMO,1
SVA,ANC,1
UNK,AUK,1
UNK,KSM,1
UNK,SHX,1
WAA,SHH,1
WBB,SMK,1
WBB,UNK,1
WLK,IAN,1
WMO,ELI,1
WMO,GLV,1
HPN,MVY,1
HYA,MVY,1
TPA,PNS,1
SIT,HNS,1
SIT,PTD,1
EDA,NKI,1
KPB,WFB,1
KTB,WFB,1
WFB,HYG,1
WFB,WHD,1
WWP,WFB,1
YQQ,BFI,1
HNL,TEB,1
MTH,TN8,1
OPF,PBI,1
TN8,MTH,1
BDL,LGA,1
RSW,TPA,1
PHL,ORD,1
ALB,BTV,1
BHM,ATL,1
BOS,MSP,1
PHX,PHX,1
ACT,IAH,1
BHM,MCI,1
EMK,FAI,1
FAI,RMP,1
FAI,TAL,1
FYU,KBC,1
GAL,HSL,1
KAL,GAL,1
KAL,KYU,1
KAL,NUL,1
KYU,NUL,1
NUL,KYU,1
KTN,PSG,1
PSG,KTN,1
AGN,TKE,1
BET,AKI,1
BET,CHU,1
BET,KSM,1
CHU,BET,1
KKI,ANI,1
KLG,SLQ,1
KSM,BET,1
KUK,PQS,1
KWT,BET,1
OOK,NME,1
PKA,BET,1
PTU,KWN,1
ENA,HOM,1
HOM,ENA,1
PGM,SOV,1
SOV,KEB,1
A43,KKB,1
A43,KWP,1
A43,KZB,1
KLN,KYK,1
KZB,A43,1
OLH,ADQ,1
KXA,WFB,1
CEM,FAI,1
FAI,NUL,1
GAL,FAI,1
GAL,GAL,1
IRC,VEE,1
KYU,FAI,1
VEE,CIK,1
AKN,KCQ,1
AKN,KMO,1
AKN,WTL,1
EMK,WBB,1
IGG,KLL,1
KCG,KCQ,1
KCL,PTH,1
KCQ,KCG,1
KCQ,KCL,1
KKH,KWK,1
KNW,DLG,1
KWK,KKH,1
NME,OOK,1
NME,TNK,1
NME,WWT,1
NUP,KUK,1
PIP,UGS,1
PTH,KPV,1
TNK,OOK,1
UGS,PIP,1
TKJ,CKX,1
SKW,MRI,1
KNW,KEK,1
PIP,DLG,1
PTH,DLG,1
BOS,KWI,1
LAS,HAJ,1
ANV,HCR,1
ANV,KGX,1
BET,EEK,1
CHU,CKD,1
CKD,KLG,1
EMK,HPB,1
EMK,KOT,1
EMK,UNK,1
GAL,UNK,1
GNU,KWN,1
HCR,ANV,1
HCR,KGX,1
HPB,VAK,1
HSL,FAI,1
HSL,KYU,1
HSL,NUL,1
KGX,ANV,1
KGX,HCR,1
KOT,PQS,1
KOT,UNK,1
KPN,CYF,1
MLL,AUK,1
MOU,HPB,1
MOU,PQS,1
MOU,SCM,1
MOU,SMK,1
NUI,BRW,1
PIZ,PHO,1
PQS,ANI,1
PQS,KOT,1
RDB,SHG,1
RSH,MLL,1
SHG,ABL,1
SMK,EMK,1
SMK,WBB,1
TLT,AKI,1
UNK,EMK,1
WBB,EMK,1
WTL,KWN,1
RSN,YLW,1
YIP,YYZ,1
APA,SAN,1
BUR,SJC,1
HHR,ONT,1
LGB,ONT,1
MHT,TEB,1
ONT,VNY,1
SAN,APA,1
TEB,IAD,1
TKF,SBA,1
VNY,AZ3,1
VNY,SFO,1
PHX,BOI,1
YAK,CDV,1
ELM,CMH,1
IAD,PQI,1
JAX,ALB,1
RIC,BUF,1
SCE,CLE,1
PBI,MCO,1
SJC,DEN,1
MYK,GKN,1
BGR,RIC,1
BNA,IAD,1
CAK,DCA,1
CVG,TUL,1
EWR,ORD,1
GRR,CLE,1
LEX,CID,1
LIT,CVG,1
MEM,CLE,1
PVD,CMH,1
PVD,RIC,1
RIC,GSP,1
SAV,TUL,1
SDF,DCA,1
TUL,VPS,1
DFW,MEM,1
MSN,ATW,1
PDX,RDM,1
PSC,GEG,1
SAT,FNT,1
SBA,EUG,1
AKN,ANC,1
ILI,PTA,1
KNK,NNL,1
NNL,KNK,1
PTA,ILI,1
PTA,NNL,1
ABQ,ECP,1
ABQ,ELP,1
ABQ,MSP,1
ALB,ABQ,1
ALB,MEM,1
ALB,MKE,1
ALB,OMA,1
AMA,BWI,1
AMA,SJC,1
ATL,DSM,1
ATL,PNS,1
ATL,SDF,1
AUS,ORF,1
BDL,CLT,1
BDL,DSM,1
BDL,ELP,1
BHM,ABQ,1
BHM,BUR,1
BHM,CVG,1
BHM,PHL,1
BHM,SMF,1
BNA,ALB,1
BNA,RNO,1
BNA,TUL,1
BOI,IND,1
BOI,PHL,1
BOS,GRR,1
BOS,ONT,1
BOS,PBI,1
BUF,LAX,1
BUF,MHT,1
BUF,ORF,1
BUF,PVD,1
BUF,RNO,1
BUR,AMA,1
BUR,BWI,1
BUR,GSP,1
BUR,LBB,1
BWI,AMA,1
CHS,ELP,1
CHS,PBI,1
CHS,RDU,1
CLE,CVG,1
CLE,DSM,1
CLE,JAX,1
CLE,OMA,1
CLE,SDF,1
CLT,ATL,1
CMH,MKE,1
CMH,SJU,1
CRP,TUL,1
CVG,DCA,1
CVG,OAK,1
CVG,OMA,1
CVG,PIT,1
CVG,SJU,1
DCA,CHS,1
DCA,JAX,1
DCA,ONT,1
DEN,CRP,1
DEN,ISP,1
DSM,BOS,1
DSM,GEG,1
DTW,BOS,1
DTW,DCA,1
DTW,DSM,1
DTW,ICT,1
DTW,MAF,1
DTW,PHL,1
DTW,TUL,1
DTW,TUS,1
ECP,SAN,1
ECP,SLC,1
ELP,DTW,1
ELP,JAX,1
EWR,ABQ,1
EWR,ATL,1
EWR,BHM,1
EWR,OKC,1
EWR,SJC,1
FLL,DSM,1
FLL,SNA,1
GEG,CMH,1
GEG,MAF,1
GEG,SAT,1
GRR,SEA,1
GSP,MSP,1
GSP,PHX,1
IAD,RDU,1
IND,BHM,1
IND,ELP,1
ISP,BUF,1
ISP,ELP,1
ISP,SAT,1
ISP,SLC,1
JAX,TUS,1
IAD,FRA,1
TEB,LBG,1
BHD,ATL,1
TEB,ZRH,1
LAS,CVG,1
LAS,HRL,1
LAX,SDF,1
LBB,ABQ,1
LBB,BHM,1
LBB,MCO,1
LBB,PNS,1
LGA,SEA,1
LIT,MSP,1
MAF,PHL,1
MAF,PNS,1
MAF,RDU,1
MDW,ISP,1
MDW,ROC,1
MEM,MSY,1
MEM,PHL,1
MEM,SAN,1
MEM,SJC,1
MHT,BNA,1
MHT,HOU,1
MHT,MSP,1
MHT,SJC,1
MKE,ELP,1
MSP,PDX,1
MSY,LIT,1
OAK,SMF,1
OMA,ALB,1
OMA,SDF,1
ONT,LBB,1
ONT,LGA,1
ORF,CVG,1
ORF,IND,1
ORF,PBI,1
PDX,AUS,1
PHL,CLE,1
PHL,DSM,1
PHL,ICT,1
PHL,SEA,1
PHL,SMF,1
PIT,LGA,1
PWM,CLT,1
RDU,BUR,1
RDU,CVG,1
RDU,JAX,1
RDU,RSW,1
RDU,TUS,1
RIC,SEA,1
RIC,SJC,1
RNO,TPA,1
ROC,MCI,1
ROC,MKE,1
RSW,LAX,1
RSW,RNO,1
RSW,SAT,1
SAN,BHM,1
SAN,CRP,1
SAN,PVD,1
SAT,CRP,1
SAT,PIT,1
SDF,SLC,1
SDF,SMF,1
SEA,AMA,1
SEA,BOI,1
SEA,CMH,1
SEA,PVD,1
SEA,SFO,1
SFO,BOS,1
SFO,GEG,1
SFO,RSW,1
SFO,TUL,1
SJC,ALB,1
SJC,ORF,1
SJU,ABQ,1
SJU,DCA,1
SLC,CRP,1
SMF,GSP,1
SMF,RDU,1
TPA,ONT,1
TPA,TUS,1
TUL,MCI,1
TUS,AMA,1
TUS,ELP,1
TUS,MEM,1
TUS,SFO,1
TUS,TPA,1
YYZ,FLL,1
YYZ,HOU,1
YYZ,LAS,1
YYZ,LCK,1
YYZ,YIP,1
YKA,SFO,1
BFI,NCE,1
NCE,BFI,1
SGD,FLL,1
PPG,APW,1
BMA,TEB,1
BQH,PBI,1
BQH,TEB,1
CIW,VNY,1
FRG,VKO,1
HEL,TEB,1
HPN,BUD,1
LIN,TEB,1
MRS,FLL,1
NAS,STL,1
OPF,FAB,1
PBI,LBG,1
PBI,LTN,1
TEB,ANU,1
TEB,FRA,1
CHA,MAD,1
CPS,MAD,1
IAD,TLC,1
LBG,CHA,1
MAD,DTW,1
MAD,IAD,1
BED,LAX,1
HNL,LAS,1
HPN,MIA,1
HPN,SFO,1
IAD,HPN,1
IAD,TEB,1
IND,PHL,1
LAS,TRM,1
LAX,OAK,1
LGA,BCT,1
MDW,SNA,1
MIA,JFK,1
OPF,MDT,1
PBI,ECP,1
PDK,PHX,1
PHL,JRA,1
PSP,MDW,1
SCF,DPA,1
SFO,SLC,1
SJC,HNL,1
TEB,BUR,1
TEB,MHT,1
TEB,MIA,1
TEB,OPF,1
TEB,RDU,1
TEB,SFO,1
TEB,UT1,1
TLH,TMB,1
VNY,LIH,1
BUR,NAS,1
EGE,LBG,1
LBG,BOS,1
NAS,TEB,1
ORL,MHH,1
SAN,YWG,1
SJO,SJC,1
SXM,EWR,1
SXM,TEB,1
TEB,LTN,1
TEB,YVR,1
TMB,NAS,1
YVR,SAN,1
YVR,SFO,1
BHM,IAH,1
BOS,CLE,1
DCA,YYZ,1
DFW,YYZ,1
GSP,IAD,1
MSY,AUS,1
PIT,ABQ,1
SEA,OGG,1
SRQ,YYC,1
CLT,PVR,1
DCA,LIR,1
DTW,MEX,1
MEX,DEN,1
MEX,TUL,1
ROC,MBJ,1
ROC,MEX,1
SAT,SAL,1
ROC,ILM,1
CPX,SJU,1
SJU,CPX,1
SJU,STT,1
VQS,SIG,1
