Source,Target,Weight,Lon,Lat
ALB,MVY,1,-73.79855564,42.74801595
BED,BLM,1,69.8997711,22.432375
BED,NAD,1,69.8997711,22.432375
BED,SYR,1,69.8997711,22.432375
BLM,BED,1,-48.4682453,-1.45056
BLM,IAD,1,-48.4682453,-1.45056
EWB,PSF,1,7.4368691,46.9448473
HPN,PWM,1,-73.70833334,41.0680174
IAD,TEB,1,-77.45342298,38.95226625
JFK,MEM,1,-73.77937337,40.6429479
MHT,TEB,1,43.292241,14.337008
MVY,BAF,1,-70.61460078,41.3923861
NAD,MVL,1,-8.8349258,52.0706939
SIG,VQS,1,-0.1906822,35.5305119
SJU,SKB,1,-65.99743037,18.44319945
SJU,STX,1,-65.99743037,18.44319945
STX,STT,1,-64.8059209,17.69997805
YYZ,HPN,1,-79.62912913,43.678524
LAX,TRM,1,-118.4213763,33.94216755
SAN,TEB,1,127.7965435,35.7724185
TEB,CLD,1,-74.06353615,40.84951
TRM,LAX,1,53.0809897,36.4753913
AUS,HOU,1,-97.66500964,30.19348925
AUS,SFB,1,-97.66500964,30.19348925
HOU,AUS,1,-95.27692609,29.64714905
SJC,PHX,1,-121.929329,37.3633241
LIM,MIA,1,-77.0365256,-12.0621065
ROP,SPN,1,8.916667,9.5
GHC,APF,1,-3.586593239,40.36791425
MPB,BIM,1,-80.1775503,25.7834634
SAQ,FLL,1,33.6001281,45.1319466
GAL,GAL,1,-82.3556216,38.7952465
GAL,MTX,1,-82.3556216,38.7952465
GKN,MTX,1,9.173334112,49.0415862
MTX,GAL,1,-147.7551261,64.8079317
MTX,GKN,1,-147.7551261,64.8079317
ACK,LGA,1,-70.05803594,41.25579665
LGA,ACK,1,-8.455050948,37.13258125
ANI,KGX,1,43.5743956,40.5062237
ANV,ANI,1,-160.1932999,62.6451092
KLG,RSH,1,-160.3409422,61.5367187
RSH,KLG,1,6.772218715,51.2424615
ABL,ORV,1,-8.475101056,40.69446465
ABL,RDB,1,-8.475101056,40.69446465
AUK,KSM,1,174.5506105,-36.5412811
AUK,UNK,1,174.5506105,-36.5412811
DRG,RDB,1,81.39795456,21.19903535
ELI,WMO,1,41.2573924,37.7874104
IAN,SHG,1,125.311867,47.679513
KOT,OME,1,70.595336,34.153184
KSM,AUK,1,39.7500154,43.6371111
KSM,UNK,1,39.7500154,43.6371111
ORV,WLK,1,-95.217306,35.708513
OTZ,SKK,1,10.91320941,47.2023838
RDB,ABL,1,-162.9027778,68.0311111
RDB,DRG,1,-162.9027778,68.0311111
SHG,ORV,1,103.97484,20.85148
SHG,WLK,1,103.97484,20.85148
SHH,ANC,1,31.3958197,30.0451144
SHX,UNK,1,-159.5672581,62.6874591
SKK,GLV,1,120.7485793,14.99443705
SKK,GLV,1,120.7485793,14.99443705
SKK,KTS,1,120.7485793,14.99443705
SKK,WAA,1,120.7485793,14.99443705
SKK,WMO,1,120.7485793,14.99443705
SVA,ANC,1,-73.98232775,40.7387725
UNK,AUK,1,122.7746771,63.88721485
UNK,KSM,1,122.7746771,63.88721485
UNK,SHX,1,122.7746771,63.88721485
WAA,SHH,1,8.716667,7.1
WBB,SMK,1,-162.285764,63.5155071
WBB,UNK,1,-162.285764,63.5155071
WLK,IAN,1,7.612471387,48.8519787
WMO,ELI,1,6.146241137,46.2232525
WMO,GLV,1,6.146241137,46.2232525
HPN,MVY,1,-73.70833334,41.0680174
HYA,MVY,1,-70.28481966,41.6707658
TPA,PNS,1,-82.53492762,27.9791649
SIT,HNS,1,3.6959771,43.4014434
SIT,PTD,1,3.6959771,43.4014434
EDA,NKI,1,12.19069196,59.8074259
KPB,WFB,1,-133.6225,56.3516667
KTB,WFB,1,-132.5366667,55.6877778
WFB,HYG,1,3.948190534,51.816687
WFB,WHD,1,3.948190534,51.816687
WWP,WFB,1,-133.1231623,56.1150072
YQQ,BFI,1,-124.9077184,49.7066374
HNL,TEB,1,-157.9184068,21.3217144
MTH,TN8,1,-81.0512195,24.7258703
OPF,PBI,1,12.13631016,49.4131419
TN8,MTH,1,-86.2770678,12.1415977
BDL,LGA,1,-72.68501994,41.9405835
RSW,TPA,1,-81.75880563,26.53294975
PHL,ORD,1,-75.23521279,39.875018
ALB,BTV,1,-73.79855564,42.74801595
BHM,ATL,1,-86.75154127,33.5635078
BOS,MSP,1,-71.01340799,42.3630236
PHX,PHX,1,-112.0094218,33.43290795
ACT,IAH,1,149.0026942,-35.4883502
BHM,MCI,1,-86.75154127,33.5635078
EMK,FAI,1,-164.4916058,62.7849215
FAI,RMP,1,-82.6418883,39.7886111
FAI,TAL,1,-82.6418883,39.7886111
FYU,KBC,1,-145.240902,66.57354795
GAL,HSL,1,-82.3556216,38.7952465
KAL,GAL,1,35.5272854,54.4382773
KAL,KYU,1,35.5272854,54.4382773
KAL,NUL,1,35.5272854,54.4382773
KYU,NUL,1,93.572227,18.75264
NUL,KYU,1,6.1102432,52.3577793
KTN,PSG,1,-131.7099582,55.3540143
PSG,KTN,1,22.16377836,50.94473235
AGN,TKE,1,-7.980700223,40.2202451
BET,AKI,1,35.2224417,31.9420729
BET,CHU,1,35.2224417,31.9420729
BET,KSM,1,35.2224417,31.9420729
CHU,BET,1,0.099991805,52.21370905
KKI,ANI,1,12.29550959,48.605218
KLG,SLQ,1,-160.3409422,61.5367187
KSM,BET,1,39.7500154,43.6371111
KUK,PQS,1,13.9336545,46.1976631
KWT,BET,1,114.2264955,22.31211815
OOK,NME,1,-165.0879817,60.5376015
PKA,BET,1,68.7036514,32.3936231
PTU,KWN,1,76.70144662,30.72239075
ENA,HOM,1,3.606899004,49.45328545
HOM,ENA,1,103.3151735,18.67974735
PGM,SOV,1,22.78189826,49.7894957
SOV,KEB,1,1.1822071,6.1750979
A43,KKB,1,30.74052228,-26.7777402
A43,KWP,1,30.74052228,-26.7777402
A43,KZB,1,30.74052228,-26.7777402
KLN,KYK,1,21.1489473,54.7293041
KZB,A43,1,-153.7469959,57.5522796
OLH,ADQ,1,-7.81120387,37.0646248
KXA,WFB,1,-122.3388784,47.6081846
CEM,FAI,1,-35.2200669,-6.951689
FAI,NUL,1,-82.6418883,39.7886111
GAL,FAI,1,-82.3556216,38.7952465
GAL,GAL,1,-82.3556216,38.7952465
IRC,VEE,1,-144.0760698,65.8277862
KYU,FAI,1,93.572227,18.75264
VEE,CIK,1,24.33584058,58.61832305
AKN,KCQ,1,-156.649387,58.6753166
AKN,KMO,1,-156.649387,58.6753166
AKN,WTL,1,-156.649387,58.6753166
EMK,WBB,1,-164.4916058,62.7849215
IGG,KLL,1,9.8973803,47.4314481
KCG,KCQ,1,78.4992403,17.389311
KCL,PTH,1,114.1710793,22.3092765
KCQ,KCG,1,-158.7704508,56.2554722
KCQ,KCL,1,-158.7704508,56.2554722
KKH,KWK,1,9.79646405,52.3920007
KNW,DLG,1,76.3521327,21.8236058
KWK,KKH,1,-163.1679598,59.8760078
NME,OOK,1,-164.7029652,60.46984675
NME,TNK,1,-164.7029652,60.46984675
NME,WWT,1,-164.7029652,60.46984675
NUP,KUK,1,86.7523939,28.0579247
PIP,UGS,1,60.1212865,26.6262253
PTH,KPV,1,-158.6381662,56.9586396
TNK,OOK,1,19.7133968,68.2171271
UGS,PIP,1,-79.80268096,36.0669761
TKJ,CKX,1,77.2378914,28.6280278
SKW,MRI,1,102.1345352,13.7686129
KNW,KEK,1,76.3521327,21.8236058
PIP,DLG,1,60.1212865,26.6262253
PTH,DLG,1,-158.6381662,56.9586396
BOS,KWI,1,-71.01340799,42.3630236
LAS,HAJ,1,0.3098676,43.4697786
ANV,HCR,1,-160.1932999,62.6451092
ANV,KGX,1,-160.1932999,62.6451092
BET,EEK,1,35.2224417,31.9420729
CHU,CKD,1,0.099991805,52.21370905
CKD,KLG,1,-158.1319634,61.8670574
EMK,HPB,1,-164.4916058,62.7849215
EMK,KOT,1,-164.4916058,62.7849215
EMK,UNK,1,-164.4916058,62.7849215
GAL,UNK,1,-82.3556216,38.7952465
GNU,KWN,1,8.6,7.516667
HCR,ANV,1,-159.7729269,62.1908445
HCR,KGX,1,-159.7729269,62.1908445
HPB,VAK,1,18.6859383,45.5601848
HSL,FAI,1,24.9404966,60.1991023
HSL,KYU,1,24.9404966,60.1991023
HSL,NUL,1,24.9404966,60.1991023
KGX,ANV,1,-160.0673191,62.8890322
KGX,HCR,1,-160.0673191,62.8890322
KOT,PQS,1,70.595336,34.153184
KOT,UNK,1,70.595336,34.153184
KPN,CYF,1,4.249368965,52.0651467
MLL,AUK,1,52.9953394,55.2743437
MOU,HPB,1,-7.222334537,38.29755475
