Node,Airport Name,Lon,Lat
ALB, Albany International,12.80298503,56.68113495
BED, Laurence G Hanscom Field,-71.28399801,42.46936025
BLM, Monmouth Executive,-74.1222892,40.1855136
EWB, New Bedford Regional,-70.93748095,41.6906659
HPN, Westchester County,-73.7907554,41.1763139
IAD, Washington Dulles International,-77.45342298,38.95226625
JFK, John F. Kennedy International,7.259453,46.49061
MHT, Manchester-Boston Regional,-71.4388276,42.93066555
MVY, Martha's Vineyard Airport,-70.61460078,41.3923861
NAD, Harriman-and-West,-74.1445899,41.308427
SIG, Isla Grande,-74.62171073,-52.83884555
SJU, Luis Munoz Marin International,-65.99743037,18.44319945
STX, Henry E. Rohlsen,-64.8059209,17.69997805
YYZ, Lester B. Pearson International,-79.226553,43.803381
LAX, Los Angeles International,-118.4213763,33.94216755
SAN, San Diego International,-117.1922464,32.73336075
TEB, Teterboro Airport,-74.06353615,40.84951
TRM, Jacqueline Cochran Regional,-116.1610207,33.63094125
AUS, Austin - Bergstrom International,-97.66500964,30.19348925
HOU, William P Hobby,-95.27692609,29.64714905
SJC, Norman Y. Mineta San Jose International,-121.92662,37.362014
LIM, Jorge Chavez International,-77.11126697,-12.0217024
ROP, Benjamin Taisacan Manglona International,145.241092099159,14.17434795
GHC, Great Harbour Cay Airport,-77.8401031,25.7383003
MPB, Watson Island International,-74.0037874,40.7148423
SAQ, San Andros Airport,-78.05411619,25.0557121
GAL, Edward G. Pitka Sr.,-156.94225,64.737507
GKN, Gulkana Airport,-145.45182,62.154535
MTX, Metro Field,-147.7551261,64.8079317
ACK, Nantucket Memorial,-70.05803594,41.25579665
LGA, LaGuardia,-2.5850848,42.5535011
ANI, Aniak Airport,-159.5427778,61.5813889
ANV, Anvik Airport,-160.1932999,62.6451092
KLG, Kalskag Airport,-160.3409422,61.5367187
RSH, Russian Mission Airport,-161.3215282,61.7804954
ABL, Ambler River,-157.4189829,67.1563979
AUK, Alakanuk Airport,-164.7169887,62.6858803
DRG, Deering Airport,-162.7661743,66.0685517
ELI, Elim Airport,-162.2702575,64.6187457
IAN, Bob Baker Memorial,-160.4408276,66.9753137
KOT, Kotlik Airport,-163.5332323,63.03016285
KSM, St. Mary's Airport,-6.293294949,49.9138653
ORV, Robert/Bob/Curtis Memorial,-161.027193,66.81738435
OTZ, Ralph Wien Memorial,-162.6107466,66.8836843
RDB, Red Dog Airport,-162.9027778,68.0311111
SHG, Shungnak Airport,-157.1567626,66.8861127
SHH, Shishmaref Airport,-166.0909413,66.24925765
SHX, Shageluk Airport,-159.5672581,62.6874591
SKK, Shaktoolik Airport,-161.223999,64.3711014
SVA, Savoonga Airport,-170.4924844,63.6864805
UNK, Unalakleet Airport,-160.801069,63.89088885
WAA, Wales Airport,-70.021076,44.1723218
WBB, Stebbins Airport,-162.285764,63.5155071
WLK, Selawik Airport,-159.9946695,66.6003169
WMO, White Mountain Airport,-163.4102675,64.6886809
HYA, Barnstable Municipal-Boardman/Polando Field,-70.28481966,41.6707658
TPA, Tampa International,-82.53492762,27.9791649
SIT, Sitka Rocky Gutierrez,-135.3631936,57.04768055
EDA, Edna Bay Airport,-133.6632433,55.949259
KPB, Point Baker Airport,-116.0808486,35.2865526
KTB, Thorne Bay Seaplane Base,-132.5366667,55.6877778
WFB, Ketchikan Waterfront Seaplane Base,-131.668333,55.357778
WWP, Whale Pass Airport,-152.8292301,57.92716235
YQQ, Comox Airport,-124.9077184,49.7066374
HNL, Daniel K Inouye International,-157.9184068,21.3217144
MTH, The Florida Keys Marathon International,-81.0512195,24.7258703
OPF, Miami Opa Locka Executive,-80.27515077,25.90619265
TN8, John C Tune,-86.88638784,36.18334045
BDL, Bradley International,-72.68501994,41.9405835
RSW, Southwest Florida International,68.8332062,37.663947
PHL, Philadelphia International,-75.23521279,39.875018
BHM, Birmingham-Shuttlesworth International,-86.75154127,33.5635078
BOS, Logan International,-71.01340799,42.3630236
PHX, Phoenix Sky Harbor International,-112.0094218,33.43290795
ACT, Waco Regional,-97.22638616,31.6133017
EMK, Emmonak Airport,-164.4916058,62.7849215
FAI, Fairbanks International,-147.8678423,64.81761
FYU, Fort Yukon Airport,-145.240902,66.57354795
KAL, Kaltag Airport,-158.7355272,64.3196804
KYU, Koyukuk Airport,-157.7177479,64.87707825
NUL, Nulato Airport,-158.0722359,64.7312131
KTN, Ketchikan International,-131.7099582,55.3540143
PSG, Petersburg James A Johnson,-132.939046,56.804517
AGN, Angoon Seaplane Base,-134.585,57.5033333
BET, Bethel Airport,-161.8402619,60.78043015
CHU, Chuathbaluk Airport,-159.2160034,61.5791016
KKI, Akiachak Airport,-161.4868143,60.9165695
KUK, Kasigluk Airport,-162.5247222,60.8719444
KWT, Kwethluk Airport,-161.4412536,60.7931676
OOK, Toksook Bay,-165.1061256,60.5311752
PKA, Napaskiak Airport,-161.7740167,60.7060627
PTU, Platinum Airport,-161.8244235,59.0158634
ENA, Kenai Municipal,-151.2472795,60.5706167
HOM, Homer Airport,-151.4905296,59.6429186
PGM, Port Graham Airport,-151.8286652,59.347423
SOV, Seldovia Airport,-151.7047612,59.4424492
A43, Trident Basin Seaplane Base,-152.3910065,57.7807999
KLN, Larsen Bay Airport,-153.9766675,57.5353003
KZB, Zachar Bay Airport,-153.7469959,57.5522796
OLH, Old Harbor Airport,-153.2702295,57.21818475
KXA, Kasaan Seaplane Base,-132.3975,55.5372222
CEM, Central Airport,-144.777902,65.5736598
IRC, Circle City,-112.5815176,33.8149433
VEE, Venetie Airport,-146.3659973,67.0086975
AKN, King Salmon Airport,-156.649387,58.6753166
IGG, Igiugig Airport,-155.8999872,59.3251656
KCG, Chignik Bay Airport,-158.4013889,56.2955556
KCL, Chignik Lagoon Airport,-158.5344975,56.310982
KCQ, Chignik Lake,-158.7639484,56.2530286
KKH, Kongiganak Airport,-162.8813,59.9604
KNW, New Stuyahok Airport,-157.3746663,59.4564459
KWK, Kwigillingok Airport,-163.1679598,59.8760078
NME, Nightmute Airport,-164.7029652,60.46984675
NUP, Nunapitchuk Airport,-162.4435881,60.902874
PIP, Pilot Point Airport,-157.5690236,57.5791972
PTH, Port Heiden Airport,-158.6381662,56.9586396
TNK, Tununak Airport,-165.2693027,60.5753352
UGS, Ugashik Airport,-157.4009501,57.52193865
TKJ, Tok Junction,-142.9877729,63.3359454
SKW, Skwentna Airport,-151.1879783,61.9659232
LAS, McCarran International,-115.1611199,36.0861034
CKD, Crooked Creek Airport,-158.1319634,61.8670574
GNU, Goodnews,-161.5875,59.1188889
HCR, Holy Cross Airport,-159.7729269,62.1908445
HPB, Hooper Bay Airport,-166.1478021,61.52474885
HSL, Huslia Airport,-156.3509979,65.6978989
KGX, Grayling Airport,-160.0673191,62.8890322
KPN, Kipnuk Airport,-164.0323131,59.9353286
MLL, Marshall Don Hunter Sr.,-162.0320792,61.8658239
MOU, Mountain Village Airport,-163.6843667,62.0944378
NUI, Nuiqsut Airport,-151.0052334,70.20999965
PIZ, Point Lay LRRS,-162.834962,69.724382
PQS, Pilot Station Airport,-162.900546,61.9348255
SMK, St. Michael Airport,-162.1124452,63.4842682
TLT, Tuluksak Airport,-160.9660798,61.0985829
WTL, Tuntutuliak Airport,-162.6565166,60.3504323
RSN, Ruston Regional,-92.5890211,32.5136789
YIP, Willow Run,-75.240028,40.180337
APA, Centennial,-104.8769227,39.579155
BUR, Bob Hope,-2.5507889,51.4598516
HHR, Jack Northrop Field/Hawthorne Municipal,-118.3351929,33.9229786
LGB, Long Beach Airport,-118.1534124,33.81683295
ONT, Ontario International,15.90652904,49.2047944
TKF, Truckee Tahoe,-120.2305019,39.3519001
VNY, Van Nuys Airport,-118.4901484,34.20713175
YAK, Yakutat Airport,-139.6440808,59.50081355
ELM, Elmira/Corning Regional,-76.89199038,42.1608441
JAX, Jacksonville International,-81.69245135,30.4947303
RIC, Richmond International,-123.1798642,49.193044
SCE, University Park,-1.200295693,52.9387428
PBI, Palm Beach International,-80.09248651,26.6859478
MYK, May Creek Airport,-142.6875629,61.3362898
BGR, Bangor International,-68.81941486,44.8072619
BNA, Nashville International,-86.68308703,36.11958985
CAK, Akron-Canton Regional,-81.53619425,41.07251425
CVG, Cincinnati/Northern Kentucky International,-84.66516173,39.04990715
EWR, Newark Liberty International,-74.17725485,40.68906405
GRR, Gerald R. Ford International,-85.5348824,42.8766147
LEX, Blue Grass,-90.7659148,41.5097808
LIT, Bill and Hillary Clinton Nat Adams Field,-92.222777,34.729671
MEM, Memphis International,-89.97689467,35.04625645
