Source,Destination
0,12
0,37
0,74
0,91
0,170
0,241
0,267
0,287
0,302
0,355
0,380
0,384
0,451
0,453
0,484
0,587
0,642
0,771
0,798
0,809
0,873
0,964
0,1031
0,1126
0,1146
0,1213
0,1237
1,76
1,106
1,151
1,166
1,174
1,268
1,288
1,467
1,489
1,503
1,524
1,537
1,559
1,614
1,658
1,741
1,823
1,891
1,904
1,960
1,963
1,1129
1,1153
1,1256
2,108
2,114
2,122
2,219
2,259
2,260
2,286
2,288
2,289
2,308
2,316
2,318
2,319
2,339
2,389
2,391
2,411
2,426
2,646
2,678
2,817
2,818
2,928
2,965
2,972
2,1002
2,1041
2,1072
2,1080
2,1095
2,1120
2,1133
2,1137
2,1210
2,1230
2,1235
3,7
3,10
3,150
3,165
3,168
3,187
3,197
3,247
3,305
3,334
3,358
3,447
3,457
3,578
3,605
3,644
3,672
3,709
3,719
3,733
3,770
3,785
3,796
3,818
3,832
3,835
3,958
3,978
3,994
3,1023
3,1025
3,1027
3,1052
3,1074
3,1134
3,1153
3,1173
4,59
4,82
4,185
4,194
4,218
4,327
4,348
4,411
4,447
4,527
4,636
4,686
4,694
4,706
4,763
4,793
4,816
4,874
4,883
4,936
4,990
4,1025
4,1028
4,1075
4,1116
4,1184
4,1186
4,1249
5,32
5,47
5,127
5,146
5,166
5,198
5,259
5,300
5,343
5,363
5,420
5,427
5,431
5,511
5,542
5,572
5,716
5,784
5,811
5,839
5,858
5,872
5,933
5,1088
5,1149
5,1158
5,1246
6,78
6,144
6,188
6,248
6,281
6,325
6,347
6,478
6,479
6,547
6,587
6,608
6,625
6,637
6,652
6,782
6,805
6,845
6,853
6,937
6,960
6,976
6,987
6,993
6,1004
6,1013
6,1122
6,1124
6,1185
6,1201
6,1211
6,1215
7,92
7,132
7,161
7,221
7,227
7,264
7,298
7,350
7,363
7,380
7,460
7,506
7,588
7,652
7,654
7,685
7,689
7,699
7,771
7,904
7,911
7,989
7,1036
7,1050
7,1051
7,1133
7,1191
7,1198
7,1209
8,75
8,121
8,165
8,215
8,222
8,259
8,355
8,394
8,406
8,420
8,452
8,468
8,500
8,509
8,527
8,569
8,575
8,586
8,601
8,622
8,659
8,713
8,795
8,877
8,934
8,967
8,970
8,1067
8,1080
8,1112
8,1117
8,1211
9,22
9,40
9,114
9,156
9,168
9,174
9,218
9,241
9,268
9,377
9,456
9,463
9,497
9,563
9,578
9,643
9,745
9,762
9,778
9,790
9,873
9,925
9,944
9,994
9,1020
9,1055
9,1153
9,1225
10,14
10,162
10,174
10,175
10,199
10,339
10,343
10,365
10,380
10,381
10,509
10,537
10,575
10,667
10,686
10,776
10,801
10,838
10,956
10,1060
10,1119
10,1175
11,13
11,47
11,63
11,102
11,104
11,114
11,125
11,139
11,151
11,167
11,191
11,303
11,356
11,377
11,606
11,610
11,619
11,637
11,662
11,689
11,742
11,787
11,802
11,813
11,826
11,901
11,960
11,999
11,1024
11,1033
11,1041
11,1070
11,1121
11,1183
11,1239
11,1242
11,1248
12,41
12,89
12,109
12,111
12,179
12,209
12,243
12,246
12,257
12,296
12,307
12,320
12,351
12,385
12,412
12,462
12,607
12,610
12,628
12,634
12,660
12,673
12,679
12,690
12,691
12,697
12,881
12,950
12,983
12,984
12,986
12,1000
12,1014
12,1023
12,1043
13,32
13,41
13,67
13,90
13,190
13,383
13,405
13,480
13,521
13,614
13,631
13,671
13,774
13,789
13,808
13,816
13,817
13,818
13,819
13,886
13,919
13,1002
13,1034
13,1069
13,1121
13,1179
13,1197
14,101
14,117
14,190
14,198
14,235
14,319
14,320
14,379
14,390
14,393
14,440
14,453
14,513
14,524
14,561
14,621
14,651
14,660
14,739
14,767
14,772
14,922
14,928
14,982
14,1015
14,1105
14,1142
14,1252
15,19
15,105
15,160
15,169
15,192
15,277
15,285
15,286
15,363
15,378
15,463
15,667
15,802
15,830
15,842
15,843
15,854
15,931
15,943
15,968
15,986
15,1021
15,1108
15,1237
16,130
16,139
16,161
16,188
16,268
16,378
16,391
16,402
16,405
16,521
16,573
